Publisher,Country
psygnosis,reino unido
city interactive pl,polonia
compile jp,japan
russel jp,japan
taito jp,japan
agetec na,estados unidos
gsp fr,francia
microprose na,estados unidos
play it uk,reino unido
slightly mad studios uk,reino unido
koch media(au),austria
game factory(fr),francia
titus(fr),francia
marvelous entertainment(jp),japan
mojang,suecia
pinnacle(na),estados unidos
cto spa(it),italia
talonsoft(na),estados unidos
crystal dynamics(na),estados unidos
sci(uk),reino unido
quelle(gr),alemania
mixi.inc.(jp),japan
rage software(uk),reino unido
scholastic inc.(na),estados unidos
interplay,estados unidos
mystique,estados unidos
chunsoft(jp),japan
20th century fox video games,estados unidos
avanquest software,francia
hudson entertainment,japan
nordic games,austria
men-a-vision,estados unidos
nobilis,francia
big ben interactive,francia
touchstone,estados unidos
jester interactive,reino unido
quest,japan
tigervision,estados unidos
funbox media,reino unido
rocket company,japan
metro 3d,estados unidos
ie institute,japan
universal gamex,estados unidos
ghostlight,reino unido
wizard video games,estados unidos
bmg interactive entertainment,estados unidos
pqube,reino unido
trion worlds,estados unidos
laguna,japan
ignition entertainment,estados unidos
takara,japan
kadokawa shoten,japan
destineer,estados unidos
enterbrain,japan
xseed games,estados unidos
system 3 arcade software,reino unido
cpg products,estados unidos
gamebridge,japan
midas interactive entertainment,reino unido
jaleco,japan
answer software,estados unidos
xs games,estados unidos
pack-in-soft,japan
ultravision,estados unidos
wanadoo,francia
bam! entertainment,estados unidos
knowledge adventure,estados unidos
mastiff,estados unidos
tetris online,estados unidos
esp,japan
tyo,japan
telegames,estados unidos
mud duck productions,estados unidos
screenlife,estados unidos
pioneer ldc,japan
magical company,japan
mentor interactive,estados unidos
kemco,japan
human entertainment,japan
avanquest,francia
data age,estados unidos
black bean games,italia
jack of all games,estados unidos
989 sports,estados unidos
takara tomy,japan
media rings,japan
elf,japan
kalypso media,alemania
starfish,japan
zushi games,reino unido
jorudan,japan
destination software- inc,estados unidos
new,japan
brash entertainment,estados unidos
itt family games,estados unidos
popcap games,estados unidos
home entertainment suppliers,australia
ackkstudios,estados unidos
starpath corp.,estados unidos
p2 games,reino unido
bps,japan
gathering of developers,estados unidos
newkidco,estados unidos
storm city games,estados unidos
cokem interactive,estados unidos
cbs electronics,estados unidos
magix,alemania
marvelous interactive,japan
nihon falcom corporation,japan
wargaming.net,bielorrusia
angel studios,estados unidos
arc system works,japan
playmates,estados unidos
snk playmore,japan
hamster corporation,japan
from software,japan
nippon columbia,japan
nichibutsu,japan
little orbit,estados unidos
conspiracy entertainment,estados unidos
dtp entertainment,alemania
hect,japan
mumbojumbo,estados unidos
pacific century cyber works,hong kong
indie games,estados unidos
liquid games,alemania
nec,japan
axela,japan
artdink,japan
sunsoft,japan
gust,japan
snk,japan
nec interchannel,japan
furyu,japan
xing entertainment,japan
valusoft,estados unidos
victor interactive,japan
detn8 games,estados unidos
american softworks,estados unidos
bomb,japan
falcom corporation,japan
aq interactive,japan
ccp,islandia
milestone s.r.l.,italia
sears,estados unidos
jowood productions,austria
seta corporation,japan
on demand,estados unidos
ncs,japan
aspyr,estados unidos
gremlin interactive ltd,reino unido
agatsuma entertainment,japan
compile heart,japan
culture brain,japan
mad catz,estados unidos
shogakukan,japan
merscom llc,estados unidos
nippon telenet,japan
tdk core,japan
bitcomposer games,alemania
foreign media games,paases bajos
astragon,alemania
ssi,estados unidos
kadokawa games,japan
idea factory,japan
performance designed products,estados unidos
asylum entertainment,reino unido
core design ltd.,reino unido
playv,reino unido
ufo interactive,estados unidos
idea factory international,estados unidos
playlogic game factory,paases bajos
essential games,reino unido
pony canyon,japan
riverhillsoft,japan
summitsoft,estados unidos
milestone s.r.l,italia
playmore,japan
mlb.com,estados unidos
kool kizz,estados unidos
flashpoint games,reino unido
49games,alemania
legacy interactive,estados unidos
alawar entertainment,rusia
cyberfront,japan
cloud imperium games corporation,estados unidos
societa,japan
virtual play games,reino unido
interchannel,japan
sonnet,japan
experience inc.,japan
zenrin,japan
iceberg interactive,paases bajos
ivolgamus,espana
2d boy,estados unidos
mc2 entertainment,estados unidos
kando games,reino unido
just flight,reino unido
office create,japan
mamba games,reino unido
fields,japan
princess soft,japan
maximum family games,estados unidos
berkeley,japan
fuji,japan
dusenberry martin racing,estados unidos
imageepoch inc.,japan
big fish games,estados unidos
her interactive,estados unidos
kamui,japan
ask,japan
headup games,alemania
kss,japan
cygames,japan
kid,japan
quinrose,japan
sunflowers,alemania
dramatic create,japan
tgl,japan
encore,estados unidos
extreme entertainment group,estados unidos
intergrow,japan
g.rev,japan
sweets,japan
kokopeli digital studios,estados unidos
number none,estados unidos
nexon,corea del sur
id software,estados unidos
bushiroad,japan
tryfirst,estados unidos
strategy first,canada
7g//ames,estados unidos
gn software,japan
yuke's,japan
easy interactive,paases bajos
licensed 4u,paases bajos
furyu corporation,japan
lexicon entertainment,reino unido
